make,model,price_usd,year,condition,mileage_kilometers,fuel_type,volume_cm3,color,transmission,drive_unit,segment,car_age,mileage_per_year,engine_volume_liters,brand_model
mazda,6,6000,2005,with mileage,217600.0,diesel,2000.0,silver,mechanics,front-wheel drive,d,21,10361.904761904761,2.0,mazda 6
mazda,6,4500,2004,with mileage,135821.0,petrol,2300.0,silver,auto,,d,22,6173.681818181818,2.3,mazda 6
mazda,6,5181,2004,with mileage,250000.0,diesel,2000.0,gray,mechanics,front-wheel drive,d,22,11363.636363636364,2.0,mazda 6
mazda,6,8300,2008,with mileage,151000.0,petrol,1800.0,black,mechanics,front-wheel drive,d,18,8388.888888888889,1.8,mazda 6
mazda,6,6390,2006,with mileage,285000.0,petrol,2000.0,burgundy,auto,front-wheel drive,d,20,14250.0,2.0,mazda 6
mazda,6,4400,2004,with mileage,290000.0,diesel,2000.0,gray,mechanics,front-wheel drive,d,22,13181.818181818182,2.0,mazda 6
mazda,6,4250,2002,with mileage,197000.0,petrol,1800.0,silver,mechanics,front-wheel drive,d,24,8208.333333333334,1.8,mazda 6
mazda,6,6150,2007,with mileage,137138.0,petrol,2300.0,burgundy,auto,front-wheel drive,d,19,7217.789473684211,2.3,mazda 6
mazda,6,9050,2010,with mileage,170000.0,petrol,2000.0,gray,auto,front-wheel drive,d,16,10625.0,2.0,mazda 6
mazda,6,8770,2008,with mileage,176300.0,petrol,2000.0,black,mechanics,front-wheel drive,d,18,9794.444444444445,2.0,mazda 6
mazda,6,4900,2006,with mileage,179000.0,petrol,2000.0,purple,auto,front-wheel drive,d,20,8950.0,2.0,mazda 6
mazda,6,7350,2009,with mileage,207604.86,petrol,2500.0,white,auto,front-wheel drive,d,17,12212.050588235294,2.5,mazda 6
mazda,6,7900,2008,with mileage,155000.0,petrol,2000.0,other,auto,front-wheel drive,d,18,8611.111111111111,2.0,mazda 6
mazda,6,5555,2007,with mileage,240000.0,petrol,2000.0,silver,mechanics,front-wheel drive,d,19,12631.578947368422,2.0,mazda 6
mazda,6,8950,2008,with mileage,211225.0,petrol,2000.0,silver,auto,front-wheel drive,d,18,11734.722222222223,2.0,mazda 6
